writeWord	candidatWord	phoneticwriteWord	phoneticCanditatWord	levenshteinDistancePhonetic	firstLetterIdentical	wordLength	fauteOrtographe
un alfa	un alfa	UNALFA	UNALFA	0	1	7	1
omepreazole	omeprazole	OMEPREAZOL	OMEPRAZOL	1	1	11	1
hydroxizine	hydroxyzine	IDROXIZIN	IDROXIZIN	0	1	11	1
orset	norset	ORS	NORS	1	0	5	1
seciafoldine	speciafoldine	SESIAFOLDIN	SPESIAFOLDIN	1	1	12	1
regabaline	pregabaline	REGABALIN	PREGABALIN	1	0	10	1
vostarel	vastarel	VOSTAREL	VASTAREL	1	1	8	1
torfan	tiorfan	TORFAN	TIORFAN	1	1	6	1
monotildiem	mono tildiem	MONOTILDIEM	MONOTILDIEM	0	1	11	1
fozite	fozitec	FOZIT	FOZITEK	2	1	6	1
a cebutolol	acebutolol	ASEBUTOLOL	ASEBUTOLOL	0	1	11	1
prozepam	prazepam	PROZEPAM	PRAZEPAM	1	1	8	1
flexctor	flector	FLEXKTOR	FLEKTOR	1	1	8	1
airmoir	airomir	AIRMOIR	AIROMIR	2	1	7	1
pantacarinat	pentacarinat	PANTAKARINA	PANTAKARINA	0	1	12	1
tramadol paracetamol	tramadol paracetamol	TRAMADOLPARASETAMOL	TRAMADOLPARASETAMOL	0	1	20	1
esdirex	esidrex	EDIR	ESIDR	2	1	7	1
spirira	spiriva	SPIRIRA	SPIRIVA	1	1	7	1
vildaglipine	vildagliptine	VILDAGLIPIN	VILDAGLIPTIN	1	1	12	1
tanacan	tanakan	TANAKAN	TANAKAN	0	1	7	1
civastatine	cilastatine	SIVASTATIN	SILASTATIN	1	1	11	0
moduodal	modiodal	MODUODAL	MODIODAL	1	1	8	1
surfarlem	sulfarlem	SURFARLEM	SULFARLEM	1	1	9	1
tedenan	tadenan	TEDENAN	TADENAN	1	1	7	1
di hydan	di hydan	DIDAN	DIDAN	0	1	8	1
lyusanxia	lysanxia	LIUSANXIA	LISANXIA	1	1	9	1
cardesartan	candesartan	KARDESARTAN	KANDESARTAN	1	1	11	1
amlodpine	amlodipine	AMLODPIN	AMLODIPIN	1	1	9	1
lzvothyrox	levothyrox	LZVOTIRO	LEVOTIRO	1	1	10	1
eupentol	eupantol	EPANTOL	EPANTOL	0	1	8	1
klippal codeine	klipal codeine	KLIPALKODAIN	KLIPALKODAIN	0	1	15	1
ogasa	ogast	OGASA	OGAS	1	1	5	1
gliaclazide	gliclazide	GLIAKLAZID	GLIKLAZID	1	1	11	1
premixon	permixon	PREMIXON	PERMIXON	2	1	8	1
diuarius	divarius	DIUARIU	DIVARIU	1	1	8	1
tanakanx	tanakan	TANAKAN	TANAKAN	0	1	8	1
hydrochlorothizaide	hydrochlorothiazide	IDROKLOROTIZAID	IDROKLOROTIAZID	2	1	19	1
aproval	aprovel	APROVAL	APROVEL	1	1	7	1
etrex	eprex	ETR	EPR	1	1	5	1
nebuvolol	nebivolol	NEBUVOLOL	NEBIVOLOL	1	1	9	1
orocal vitamine d	orocal vitamine d3	OROKALVITAMIN	OROKALVITAMIN	0	1	17	1
silnox	stilnox	SILNO	STILNO	1	1	6	1
carbodopa	carbidopa	KARBODOPA	KARBIDOPA	1	1	9	1
proterax	preterax	PROTERA	PRETERA	1	1	8	1
dsulfarlem	sulfarlem	DSULFARLEM	SULFARLEM	1	0	10	1
ercanidipine	lercanidipine	ERKANIDIPIN	LERKANIDIPIN	1	0	12	1
xerelto	xarelto	XERELTO	XARELTO	1	1	7	1
zandip	zanidip	ZANDIP	ZANIDIP	1	1	6	1
humalo	humalog	UMALO	UMALOG	1	1	6	1
deamide	depamide	DEAMID	DEPAMID	1	1	7	1
lasilxi	lasilix	LASILXI	LASILI	1	1	7	1
karfegic	kardegic	KARFEJIK	KARDEJIK	1	1	8	1
biscoce	bisoce	BISKOS	BISOS	1	1	7	1
izalgy	izalgi	IZALJI	IZALJI	0	1	6	1
rabeprezole	rabeprazole	RABEPREZOL	RABEPRAZOL	1	1	11	1
lasilic	lasilix	LASILIK	LASILI	1	1	7	1
ceroplex	seroplex	SEROPL	SEROPL	0	0	8	1
alfusosine	alfuzosine	ALFUSOSIN	ALFUZOSIN	1	1	10	1
poly karaya	poly karaya	POLIKARAIA	POLIKARAIA	0	1	11	1
psyllia	psylia	PSILIA	PSILIA	0	1	7	1
modoplar	modopar	MODOPLAR	MODOPAR	1	1	8	1
movical	movicol	MOVIKAL	MOVIKOL	1	1	7	1
gel x	gelox	JEL	JELO	1	1	5	1
chibroproscar	chibro proscar	CHIBROPROSKAR	CHIBROPROSKAR	0	1	13	1
piperaciline tazobactam	piperacilline tazobactam	PIPERASILINETAZOBAKTAM	PIPERASILINETAZOBAKTAM	0	1	23	1
loreazepam	lorazepam	LOREAZEPAM	LORAZEPAM	1	1	10	1
novo rapid	novorapid	NOVORAPI	NOVORAPI	0	1	10	1
atacan	atacand	ATAKAN	ATAKAN	0	1	6	1
micarbis	micardis	MIKARBI	MIKARDI	1	1	8	1
bidoprolol	bisoprolol	BIDOPROLOL	BISOPROLOL	1	1	10	1
tarakan	tanakan	TARAKAN	TANAKAN	1	1	7	1
senetide	seretide	SENETID	SERETID	1	1	8	1
loprestor	lopressor	LOPRESTOR	LOPRESOR	1	1	9	1
lactinol	lactitol	LAKTINOL	LAKTITOL	1	1	8	1
desloratidine	desloratadine	DESLORATIDIN	DESLORATADIN	1	1	13	1
spasfond	spasfon	SPASFON	SPASFON	0	1	8	1
spasfonn	spasfon	SPASFON	SPASFON	0	1	8	1
nexium	inexium	NEXIUM	INEXIUM	1	0	6	1
lasilyx	lasilix	LASILI	LASILI	0	1	7	1
durogesie	durogesic	DUROJESI	DUROJESIK	1	1	9	1
neo marcazole	neo mercazole	NEOMARKAZOL	NEOMERKAZOL	1	1	13	1
antaren codeine	antarene codeine	ANTARANKODAIN	ANTARENEKODAIN	2	1	15	1
bisprolol	bisoprolol	BISPROLOL	BISOPROLOL	1	1	9	1
kesin	kestin	KESIN	KESTIN	1	1	5	1
topelgic	topalgic	TOPELJIK	TOPALJIK	1	1	8	1
irbersartan	irbesartan	IRBERSARTAN	IRBESARTAN	1	1	11	1
esumeprazole	esomeprazole	ESUMEPRAZOL	ESOMEPRAZOL	1	1	12	1
prevican	previscan	PREVIKAN	PREVISKAN	1	1	8	1
furozemide	furosemide	FUROZEMID	FUROSEMID	1	1	10	1
rimipril	ramipril	RIMIPRIL	RAMIPRIL	1	1	8	1
tardyferon b 9	tardyferon b9	TARDIFERONB	TARDIFERONB	0	1	14	1
lactalose	lactulose	LAKTALOS	LAKTULOS	1	1	9	0
fixicald	fixical	FIXIKAL	FIXIKAL	0	1	8	1
levocitirizine	levocetirizine	LEVOSITIRIZIN	LEVOSETIRIZIN	1	1	14	1
chibro poscar	chibro proscar	CHIBROPOSKAR	CHIBROPROSKAR	1	1	13	1
courmadine	coumadine	KOURMADIN	KOUMADIN	1	1	10	1
efexor	effexor	EFEXOR	EFEXOR	0	1	6	1
eupanthol	eupantol	EPANTOL	EPANTOL	0	1	9	1
tardyferonb	tardyferon	TARDIFERONB	TARDIFERON	1	1	11	1
oracal	orocal	ORAKAL	OROKAL	1	1	6	1
zamudolp	zamudol	ZAMUDOLP	ZAMUDOL	1	1	8	1
bilasca	bilaska	BILASKA	BILASKA	0	1	7	1
acetylsalicilique	acetylsalicylique	ASETILSALISILIK	ASETILSALISILIK	0	1	17	1
hemato	hepato	EMATO	EPATO	1	1	6	0
vitamined	vitamine	VITAMIN	VITAMIN	0	1	9	0
abiven	kabiven	ABIVAN	KABIVAN	1	0	6	0
acethyl	acetyl	ASETI	ASETI	0	1	7	0
acabutolol	acebutolol	AKABUTOLOL	ASEBUTOLOL	2	1	10	1
aciclocvir	aciclovir	ASIKLOKVIR	ASIKLOVIR	1	1	10	1
acidde	acide	ASID	ASID	0	1	6	1
acidees	acides	ASID	ASID	0	1	7	1
acido	acide	ASIDO	ASID	1	1	5	0
acidse	acide	ASIDS	ASID	1	1	6	0
acitive	active	ASITIV	AKTIV	2	1	7	1
acktiskenan	actiskenan	AKTISKENAN	AKTISKENAN	0	1	11	1
acmee	actee	AKM	AKT	1	1	5	0
acnee	actee	AKN	AKT	1	1	5	0
acool	alcool	AKOUL	ALKOL	2	1	5	1
actenel	actonel	AKTENEL	AKTONEL	1	1	7	1
acticite	activite	AKTISIT	AKTIVIT	1	1	8	1
actine	active	AKTIN	AKTIV	1	1	6	0
actino	action	AKTINO	AKSION	3	1	6	0
actinomycine	dactinomycine	AKTINOMISIN	DAKTINOMISIN	1	0	12	0
actisknan	actiskenan	AKTISKNAN	AKTISKENAN	1	1	9	1
activa	active	AKTIVA	AKTIV	1	1	6	0
activee	active	AKTIV	AKTIV	0	1	7	0
activitee	activite	AKTIVIT	AKTIVIT	0	1	9	1
adalimumanb	adalimumab	ADALIMUMANB	ADALIMUMAB	1	1	11	1
adalimumuab	adalimumab	ADALIMUMUAB	ADALIMUMAB	1	1	11	1
adoma	aroma	ADOMA	AROMA	1	1	5	0
adrenalinee	adrenaline	ADRENALIN	ADRENALIN	0	1	11	0
adrenalinees	adrenalinee	ADRENALIN	ADRENALIN	0	1	12	1
adrenalines	adrenalinee	ADRENALIN	ADRENALIN	0	1	11	0
adrenalione	adrenaline	ADRENALION	ADRENALIN	1	1	11	1
adrenline	adrenaline	ADRANLIN	ADRENALIN	2	1	9	1
adrygyl	adrigyl	ADRIJIL	ADRIJIL	0	1	7	1
adults	adultes	ADUL	ADULT	1	1	6	1
advodart	avodart	ADVODAR	AVODAR	1	1	8	1
aeirus	aerius	AEIRU	AERIU	2	1	6	1
aerique	afrique	AERIK	AFRIK	1	1	7	0
aeromir	airomir	AEROMIR	AIROMIR	1	1	7	1
cortisol	cortisal	KORTISOL	KORTISAL	1	1	8	0
aetoxysclerol	aetoxisclerol	AETOXISKLEROL	AETOXISKLEROL	0	1	13	1
affinitor	afinitor	AFINITOR	AFINITOR	0	1	9	1
agmentin	augmentin	AGMANTIN	OGMANTIN	1	1	8	1
agumentin	augmentin	AGUMANTIN	OGMANTIN	2	1	9	1
agrume	agrumes	AGRUM	AGRUM	0	1	6	1
ailleur	tailleur	AILER	TAIER	2	0	7	0
ainis	anis	AINI	ANI	1	1	5	0
akineto	akineton	AKINETO	AKINETON	1	1	7	0
aktiskenan	actiskenan	AKTISKENAN	AKTISKENAN	0	1	10	1
aladalix	aldalix	ALADALI	ALDALI	1	1	8	1
albulmine	albumine	ALBULMIN	ALBUMIN	1	1	9	1
albumines	albumine	ALBUMIN	ALBUMIN	0	1	9	1
alccol	alcool	ALKOL	ALKOL	0	1	6	1
albugine	albumine	ALBUJIN	ALBUMIN	1	1	8	0
albumino	albumine	ALBUMINO	ALBUMIN	1	1	8	0
alcide	almide	ALSID	ALMID	1	1	6	0
alcoll	alcool	ALKOL	ALKOL	0	1	6	1
alcolo	alcool	ALKOLO	ALKOL	1	1	6	0
aldactzine	aldactazine	ALDAKTZIN	ALDAKTAZIN	1	1	10	1
aldapa	aldara	ALDAPA	ALDARA	1	1	6	1
alendroante	alendronate	ALANDROANT	ALANDRONAT	2	1	11	1
alena	avena	ALENA	AVENA	1	1	5	0
alexi	aloxi	ALEXI	ALOXI	1	1	5	0
alfacalcidiol	alfacalcidol	ALFAKALSIDIOL	ALFAKALSIDOL	1	1	13	1
alfatyl	alfatil	ALFATI	ALFATI	0	1	7	1
alexia	palexia	ALEXIA	PALEXIA	1	0	6	0
aline	valine	ALIN	VALIN	1	0	5	0
alldactone	aldactone	ALDAKTON	ALDAKTON	0	1	10	1
allergies	allergie	ALERJI	ALERJI	0	1	9	1
allergiques	allergique	ALERJIK	ALERJIK	0	1	11	1
allergne	allergie	ALERN	ALERJI	2	1	8	0
alloplastine	aloplastine	ALOPLASTIN	ALOPLASTIN	0	1	12	1
almogram	almogran	ALMOGRAM	ALMOGRAN	1	1	8	1
alopt	azopt	ALO	AZOP	2	1	5	0
alprozolam	alprazolam	ALPROZOLAM	ALPRAZOLAM	1	1	10	1
altizine	altizide	ALTIZIN	ALTIZID	1	1	8	1
alvocardyl	avlocardyl	ALVOKARDIL	AVLOKARDIL	2	1	10	1
ambulattoire	ambulatoire	ANBULATOIR	ANBULATOIR	0	1	12	1
ambulatoires	ambulatoire	ANBULATOIR	ANBULATOIR	0	1	12	1
amico	amino	AMIKO	AMINO	1	1	5	0
amicor	amycor	AMIKOR	AMIKOR	0	1	6	1
aloha	alpha	ALOA	ALFA	1	1	5	0
aloys	aloes	ALOI	ALO	1	1	5	0
amiel	miel	AMIEL	MIEL	1	0	5	0
amigo	amino	AMIGO	AMINO	1	1	5	0
amikacin	amikacine	AMIKASIN	AMIKASIN	0	1	8	1
amilor	amlor	AMILOR	AMLOR	1	1	6	1
amina	amino	AMINA	AMINO	1	1	5	0
amine	amino	AMIN	AMINO	1	1	5	0
amisulpiride	amisulpride	AMISULPIRID	AMISULPRID	1	1	12	1
ammoniaps	ammonaps	AMONIAP	AMONAP	1	1	9	1
amodipine	amlodipine	AMODIPIN	AMLODIPIN	1	1	9	1
amnio	amino	AMNIO	AMINO	2	1	5	0
amonaps	ammonaps	AMONAP	AMONAP	0	1	7	1
amoxcicilline	amoxicilline	AMOXSISILIN	AMOXISILIN	1	1	13	1
amoxiciclline	amoxicilline	AMOXISIKLIN	AMOXISILIN	1	1	13	1
amoxiciline	amoxicilline	AMOXISILIN	AMOXISILIN	0	1	11	1
amoxicillnie	amoxicilline	AMOXISILNI	AMOXISILIN	2	1	12	1
amoxycilline	amoxicilline	AMOXISILIN	AMOXISILIN	0	1	12	1
amylose	amylase	AMILOS	AMILAS	1	1	7	0
anafranyl	anafranil	ANAFRANIL	ANAFRANIL	0	1	9	1
anais	anis	ANAI	ANI	1	1	5	0
anass	anas	ANA	ANA	0	1	5	0
alois	aloes	ALOI	ALO	1	1	5	0
alves	aloes	ALV	ALO	1	1	5	0
anays	anas	ANAI	ANA	1	1	5	0
ancontil	ancotil	ANKONTI	ANKOTI	1	1	8	1
andoxan	endoxan	ANDOXAN	ANDOXAN	0	0	7	1
androcardyl	androtardyl	ANDROKARDIL	ANDROTARDIL	1	1	11	1
anemones	anemone	ANEMON	ANEMON	0	1	8	1
angie	angi	ANJI	ANJI	0	1	5	0
angio	angi	ANJIO	ANJI	1	1	5	0
anormale	normale	ANORMAL	NORMAL	1	0	8	0
anoxo	anoro	ANOXO	ANORO	1	1	5	0
antia	anti	ANTIA	ANTI	1	1	5	0
antid	anti	ANTI	ANTI	0	1	5	0
antic	anti	ANTIK	ANTI	1	1	5	0
antib	anti	ANTIB	ANTI	1	1	5	0
antigne	antigene	ANTIN	ANTIJAN	2	1	7	0
antignes	antigenes	ANTIN	ANTIJAN	2	1	8	0
antih	anti	ANTI	ANTI	0	1	5	0
antis	anti	ANTI	ANTI	0	1	5	0
antitrypscine	antitrypsine	ANTITRIPSIN	ANTITRIPSIN	0	1	13	1
antonel	actonel	ANTONEL	AKTONEL	1	1	7	0
antro	anoro	ANTRO	ANORO	1	1	5	0
aomxicilline	amoxicilline	AOMXISILIN	AMOXISILIN	2	1	12	1
apetit	petit	APETI	PETI	1	0	6	0
apnee	aunee	APN	ON	2	1	5	0
apsegic	aspegic	APSEJIK	ASPEJIK	2	1	7	1
aracetamol	paracetamol	ARASETAMOL	PARASETAMOL	1	0	10	1
aragon	fragon	ARAGON	FRAGON	1	0	6	0
araneps	aranesp	ARANEP	ARANESP	1	1	7	1
arasagiline	rasagiline	ARASAJILIN	RASAJILIN	1	0	11	1
aremidex	arimidex	AREMID	ARIMID	1	1	8	1
arena	avena	ARENA	AVENA	1	1	5	0
arhex	artex	AR	ART	1	1	5	0
antti	anti	ANTI	ANTI	0	1	5	0
arestel	arestal	ARESTEL	ARESTAL	1	1	7	1
arignine	arginine	ARININ	ARJININ	1	1	8	1
arimides	arimidex	ARIMID	ARIMID	0	1	8	1
arino	amino	ARINO	AMINO	1	1	5	0
arion	urion	ARION	URION	1	0	5	0
arlac	arolac	ARLAK	AROLAK	1	1	5	0
aromazine	aromasine	AROMAZIN	AROMASIN	1	1	9	1
aroua	aroma	AROI	AROMA	2	1	5	0
arpagophyton	harpagophyton	ARPAGOFITON	ARPAGOFITON	0	0	12	1
arrrete	arrete	ARET	ARET	0	1	7	1
artan	artane	ARTAN	ARTAN	0	1	5	0
artix	artex	ARTI	ART	1	1	5	0
asais	aspis	ASAI	ASPI	1	1	5	0
asnis	anis	ASNI	ANI	1	1	5	0
aspirin	aspirine	ASPIRIN	ASPIRIN	0	1	7	1
astro	aspro	ASTRO	ASPRO	1	1	5	0
astral	abstral	ASTRAL	ABSTRAL	1	1	6	0
ataraxa	atarax	ATARAXA	ATARA	2	1	7	1
atarx	atarax	ATAR	ATARA	1	1	5	1
atenolo	atenolol	ATENOLO	ATENOLOL	1	1	7	1
ation	action	ASION	AKSION	1	1	5	0
atitre	titre	ATITR	TITR	1	0	6	0
atriovent	atrovent	ATRIOVAN	ATROVAN	1	1	9	0
atripal	atripla	ATRIPAL	ATRIPLA	2	1	7	1
attane	artane	ATAN	ARTAN	1	1	6	0
aturgil	aturgyl	ATURJIL	ATURJIL	0	1	7	1
auche	ache	OCH	ACH	1	1	5	0
augentin	augmentin	OJANTIN	OGMANTIN	2	1	8	1
augmemtin	augmentin	OGMEMTIN	OGMANTIN	2	1	9	1
augmengin	augmentin	OGMANJIN	OGMANTIN	1	1	9	1
augmenin	augmentin	OGMENIN	OGMANTIN	2	1	8	1
augmenitn	augmentin	OGMENITN	OGMANTIN	3	1	9	1
augmentiin	augmentin	OGMANTIN	OGMANTIN	0	1	10	1
augmentina	augmentin	OGMANTINA	OGMANTIN	1	1	10	1
aumgentin	augmentin	OMJANTIN	OGMANTIN	2	1	9	1
arter	artex	ART	ART	0	1	5	0
augmention	augmentin	OGMANSION	OGMANTIN	2	1	10	0
auney	aunee	ONAI	ON	2	1	5	0
aunis	anis	ONI	ANI	1	1	5	0
aureau	sureau	ORO	SURO	2	0	6	0
aurocularum	auricularum	OROKULARUM	ORIKULARUM	1	1	11	1
avene	avena	AVAN	AVENA	2	1	5	0
avent	avena	AVAN	AVENA	2	1	5	0
avenu	avena	AVENU	AVENA	1	1	5	0
aveyron	veyron	AVAIRON	VAIRON	1	0	7	0
avlocardil	avlocardyl	AVLOKARDIL	AVLOKARDIL	0	1	10	1
axeller	axeler	AXEL	AXEL	0	1	7	1
axepime	axepim	AXEPIM	AXEPIM	0	1	7	1
azados	azadose	AZADO	AZADOS	1	1	6	1
azinc	zinc	AZINK	ZINK	1	0	5	0
azythromycine	azithromycine	AZITROMISIN	AZITROMISIN	0	1	13	1
bacalutamide	bicalutamide	BAKALUTAMID	BIKALUTAMID	1	1	12	1
baclofen	baclofene	BAKLOFAN	BAKLOFAN	0	1	8	1
baclofne	baclofene	BAKLOFN	BAKLOFAN	1	1	8	1
bacrim	bactrim	BAKRIM	BAKTRIM	1	1	6	1
bacteries	bacterie	BAKTERI	BAKTERI	0	1	9	1
bacterio	bacterie	BAKTERIO	BAKTERI	1	1	8	0
bactim	bactrim	BAKTIM	BAKTRIM	1	1	6	1
baine	laine	BAIN	LAIN	1	0	5	0
bakin	dakin	BAKIN	DAKIN	1	0	5	0
ballone	ballote	BALON	BALOT	1	1	7	0
banos	panos	BANO	PANO	1	0	5	0
barberis	berberis	BARBERI	BERBERI	1	1	8	0
barie	marie	BARI	MARI	1	0	5	0
basal	nasal	BASAL	NASAL	1	0	5	0
basden	basdene	BASDAN	BASDAN	0	1	6	1
baseline	vaseline	BASELIN	VASELIN	1	0	8	1
beata	beta	BEATA	BETA	1	1	5	0
vitamins	vitamine	VITAMIN	VITAMIN	0	1	8	1
becan	decan	BEKAN	DEKAN	1	0	5	0
bechu	buchu	BECHU	BUCHU	1	1	5	0
beclometazone	beclometasone	BEKLOMETAZON	BEKLOMETASON	1	1	13	1
belard	belara	BELAR	BELARA	1	1	6	0
bellec	belloc	BELEK	BELOK	1	1	6	0
bello	belloc	BELO	BELOK	1	1	5	0
bellocq	belloc	BELOK	BELOK	0	1	7	0
bellot	belloc	BELO	BELOK	1	1	6	0
benard	bernard	BENAR	BERNAR	1	1	6	0
bendasmustine	bendamustine	BANDASMUSTIN	BANDAMUSTIN	1	1	13	1
benefi	benefix	BENEFI	BENEFI	0	1	6	0
benelix	bedelix	BENELI	BEDELI	1	1	7	0
beneval	betneval	BENEVAL	BETNEVAL	1	1	7	0
benzoque	benzoique	BANZOK	BANZOIK	1	1	8	1
bepanthne	bepanthene	BEPANTN	BEPANTAN	1	1	9	1
bepathene	bepanthene	BEPATAN	BEPANTAN	1	1	9	1
berard	bernard	BERAR	BERNAR	1	1	6	0
bernand	bernard	BERNAN	BERNAR	1	1	7	0
bernar	bernard	BERNAR	BERNAR	0	1	6	0
bernardy	bernard	BERNARDI	BERNAR	2	1	8	0
bernart	bernard	BERNAR	BERNAR	0	1	7	0
bernhard	bernard	BERNAR	BERNAR	0	1	8	0
beroard	bernard	BEROAR	BERNAR	1	1	7	0
besnard	bernard	BESNAR	BERNAR	1	1	7	0
betaadine	betadine	BETADIN	BETADIN	0	1	9	1
betadinee	betadine	BETADIN	BETADIN	0	1	9	1
betadines	betadine	BETADIN	BETADIN	0	1	9	1
betezil	betesil	BETEZIL	BETESIL	1	1	7	1
bethadone	methadone	BETADON	METADON	1	0	9	1
bethamethasone	betamethasone	BETAMETASON	BETAMETASON	0	1	14	1
bexin	brexin	BEXIN	BREXIN	1	1	5	0
beyta	beta	BEITA	BETA	1	1	5	1
bicarbonat	bicarbonate	BIKARBONA	BIKARBONAT	1	1	10	1
biele	bile	BIEL	BIL	1	1	5	0
bilel	bile	BILEL	BIL	2	1	5	0
bionolite	bionolyte	BIONOLIT	BIONOLIT	0	1	9	1
bisolprolol	bisoprolol	BISOLPROLOL	BISOPROLOL	1	1	11	1
bispetine	biseptine	BISPETIN	BISEPTIN	2	1	9	1
bitone	biotone	BITON	BIOTON	1	1	6	1
blanco	blanc	BLANKO	BLAN	2	1	6	0
bnegatif	negatif	BNEGATIF	NEGATIF	1	0	8	0
bochu	buchu	BOCHU	BUCHU	1	1	5	0
bodin	zodin	BODIN	ZODIN	1	0	5	0
boeuf	oeuf	BEF	EF	1	0	5	0
boileau	bouleau	BOILO	BOULO	1	1	7	0
boissel	blissel	BOISEL	BLISEL	1	1	7	0
bollen	pollen	BOLAN	POLAN	1	0	6	0
bordo	boldo	BORDO	BOLDO	1	1	5	0
botal	aotal	BOTAL	AOTAL	1	0	5	0
boudeau	bouleau	BOUDO	BOULO	1	1	7	0
boudine	boldine	BOUDIN	BOLDIN	1	1	7	0
boureau	bouleau	BOURO	BOULO	1	1	7	0
bourleau	bouleau	BOURLO	BOULO	1	1	8	0
bousse	bourse	BOUS	BOURS	1	1	6	0
boustrixtetra	boostrixtetra	BOUSTRIXTETRA	BOUSTRIXTETRA	0	1	13	1
brange	orange	BRANJ	ORANJ	1	0	6	0
branger	oranger	BRANJ	ORANJ	1	0	7	0
brexine	brexin	BREXIN	BREXIN	0	1	7	0
briche	riche	BRICH	RICH	1	0	6	0
bridon	bridion	BRIDON	BRIDION	1	1	6	0
briex	briem	BRI	BRIEM	2	1	5	0
brion	urion	BRION	URION	1	0	5	0
bromazpam	bromazepam	BROMAZPAM	BROMAZEPAM	1	1	9	1
brugere	bruyere	BRUJER	BRUIER	1	1	7	0
brulee	brulex	BRUL	BRUL	0	1	6	0
brules	brulex	BRUL	BRUL	0	1	6	0
brunier	prunier	BRUNI	PRUNI	1	0	7	0
bruyeres	bruyere	BRUIER	BRUIER	0	1	8	1
brycanyl	bricanyl	BRIKANIL	BRIKANIL	0	1	8	1
buchn	buchu	BUCHN	BUCHU	1	1	5	0
buchou	buchu	BUCHOU	BUCHU	1	1	6	0
bucolam	buccolam	BUKOLAM	BUKOLAM	0	1	7	1
budezonide	budesonide	BUDEZONID	BUDESONID	1	1	10	1
buprenorphines	buprenorphine	BUPRENORFIN	BUPRENORFIN	0	1	14	1
byeta	beta	BIETA	BETA	1	1	5	0
avarys	avamys	AVARI	AVAMI	1	1	6	0
cabal	pabal	KABAL	PABAL	1	0	5	0
cabomix	carbomix	KABOMI	KARBOMI	1	1	7	1
caclium	calcium	KAKLIUM	KALSIUM	2	1	7	1
cadenne	cayenne	KADAN	KAIAN	1	1	7	0
cadroin	cadron	KADROIN	KADRON	1	1	7	0
caelix	caelyx	KAELI	KAELI	0	1	6	1
caffeine	cafeine	KAFAIN	KAFAIN	0	1	8	1
cafol	canol	KAFOL	KANOL	1	1	5	0
caine	laine	KAIN	LAIN	1	0	5	0
calcidiose	calcidose	KALSIDIOS	KALSIDOS	1	1	10	1
calciiparine	calciparine	KALSIPARIN	KALSIPARIN	0	1	12	1
calcinose	calcidose	KALSINOS	KALSIDOS	1	1	9	0
calciu	calcium	KALSIU	KALSIUM	1	1	6	0
calens	cadens	KALAN	KADAN	1	1	6	0
calmus	calamus	KALMU	KALAMU	1	1	6	0
calon	colon	KALON	KOLON	1	1	5	0
calune	callune	KALUN	KALUN	0	1	6	1
calvyn	calsyn	KALVIN	KALSIN	1	1	6	0
camelia	camilia	KAMELIA	KAMILIA	1	1	7	0
camillia	camilia	KAMILIA	KAMILIA	0	1	8	0
camphret	camphre	KANFR	KANFR	0	1	8	0
campo	campto	KANPO	KANPTO	1	1	5	0
candesertan	candesartan	KANDESERTAN	KANDESARTAN	1	1	11	1
candidas	cancidas	KANDIDA	KANSIDA	1	1	8	0
caneda	canada	KANEDA	KANADA	1	1	6	0
canis	anis	KANI	ANI	1	0	5	0
cantre	contre	KANTR	KONTR	1	1	6	0
caogulation	coagulation	KAOGULASION	KOAGULASION	2	1	11	1
captopirl	captopril	KAPTOPIRL	KAPTOPRIL	2	1	9	1
carbaglua	carbaglu	KARBAGLUA	KARBAGLU	1	1	9	1
carbon	charbon	KARBON	CHARBON	2	1	6	0
carde	cade	KARD	KAD	1	1	5	0
cardenciel	cardensiel	KARDANSIEL	KARDANSIEL	0	1	10	1
cardensil	cardensiel	KARDANSIL	KARDANSIEL	1	1	9	1
cardin	carlin	KARDIN	KARLIN	1	1	6	0
cardine	caldine	KARDIN	KALDIN	1	1	7	0
cardon	cadron	KARDON	KADRON	2	1	6	0
carie	marie	KARI	MARI	1	0	5	0
carline	carlin	KARLIN	KARLIN	0	1	7	0
carlyn	carlin	KARLIN	KARLIN	0	1	6	0
carmes	larmes	KARM	LARM	1	0	6	0
carol	canol	KAROL	KANOL	1	1	5	0
carolin	carlin	KAROLIN	KARLIN	1	1	7	0
caron	cadron	KARON	KADRON	1	1	5	0
carrus	garrus	KARU	GARU	1	0	6	0
cartex	artex	KART	ART	1	0	6	0
caseine	cafeine	KASAIN	KAFAIN	1	1	7	0
caset	casei	KAS	KASAI	2	1	5	0
caspofungin	caspofungine	KASPOFINJIN	KASPOFINJIN	0	1	11	1
cassia	cassis	KASIA	KASI	1	1	6	0
cassin	cassis	KASIN	KASI	1	1	6	0
cassius	cassis	KASIU	KASI	1	1	7	0
cassus	cassis	KASU	KASI	1	1	6	0
cative	active	KATIV	AKTIV	2	0	6	0
caule	saule	KOL	SOL	1	0	5	0
ccordarone	cordarone	KORDARON	KORDARON	0	1	10	1
cedee	cedre	SED	SEDR	1	1	5	0
cefepim	cefepime	SEFEPIM	SEFEPIM	0	1	7	1
cefotian	cefotiam	SEFOTIAN	SEFOTIAM	1	1	8	1
ceftaxidime	ceftazidime	SEFTAXIDIM	SEFTAZIDIM	1	1	11	1
ceftazidieme	ceftazidime	SEFTAZIDIEM	SEFTAZIDIM	1	1	12	1
ceftazidim	ceftazidime	SEFTAZIDIM	SEFTAZIDIM	0	1	10	1
ceine	reine	SAIN	RAIN	1	0	5	0
